"study_id","year","keywords","reference","abstract"
"krupenye2017test",2017,"cognitive evolution, false belief understanding, great ape, mentalizing, social cognition, submentalizing, theory of mind","Krupenye, C., Kano, F., Hirata, S., Call, J., & Tomasello, M. (2017). A test of the submentalizing hypothesis: Apes' performance in a false belief task inanimate control. Communicative & Integrative Biology, 10(4): e1343771. doi:10.1080/19420889.2017.1343771.","Much debate concerns whether any nonhuman animals share with humans the ability to infer others' mental states, such as desires and beliefs. In a recent eye-tracking false-belief task, we showed that great apes correctly anticipated that a human actor would search for a goal object where he had last seen it, even though the apes themselves knew that it was no longer there. In response, Heyes proposed that apes' looking behavior was guided not by social cognitive mechanisms but rather domain-general cueing effects, and suggested the use of inanimate controls to test this alternative submentalizing hypothesis. In the present study, we implemented the suggested inanimate control of our previous false-belief task. Apes attended well to key events but showed markedly fewer anticipatory looks and no significant tendency to look to the correct location. We thus found no evidence that submentalizing was responsible for apes' anticipatory looks in our false-belief task."
"laumer2018spontaneous",2018,,"Laumer, I. B., Call, J., Bugnyar, T., & Auersperg, A. M. I. (2018). Spontaneous innovation of hook-bending and unbending in orangutans (Pongo abelii). Scientif Reports, 8, 16518. doi:10.1038/s41598-018-34607-0.","Betty the crow astonished the scientific world as she spontaneously crafted hook-tools from straight wire in order to lift a basket out of vertical tubes. Recently it was suggested that this species’ solution was strongly influenced by predispositions from behavioural routines from habitual hook-tool manufacture. Nevertheless, the task became a paradigm to investigate tool innovation. Considering that young humans had surprising difficulties with the task, it was yet unclear whether the innovation of a hooked tool would be feasible to primates that lacked habitual hook making. We thus tested five captive orangutans in a hook bending and unbending task. Orangutans are habitually tool-using primates that have been reported to use but not craft hooked tools for locomotion in the wild. Two orangutans spontaneously innovated hook tools and four unbent the wire from their first trial on. Pre-experience with ready-made hooks had some effect but did not lead to continuous success. Further subjects improved the hook-design feature when the task required the subjects to bent the hook at a steeper angle. Our results indicate that the ability to represent and manufacture tools according to a current need does not require stereotyped behavioural routines, but can indeed arise innovatively. Furthermore, the present study shows that the capacity for hook tool innovation is not limited to large brained birds within non-human animals."
"laumer2019orangutans",2019,,"Laumer, I. B., Auersperg, A. M. I., Bugnyar, T., & Call, J. (2019). Orangutans (Pongo abelii) make flexible decisions relative to reward quality and tool functionality in a multi-dimensional tool-use task. PLoS One, 14(2): e0211031. doi:10.1371/journal.pone.0211031.","Making economic decisions in a natural foraging situation that involves the use of tools may require an animal to consider more levels of relational complexity than merely deciding between an immediate and a delayed food option. We used the same method previously used with Goffin´s cockatoos to investigate the orangutans' flexibility for making the most profitable decisions when confronted with five different settings that included one or two different apparatuses, two different tools and two food items (one more preferred than the other). We found that orangutans made profitable decisions relative to reward quality, when the task required the subjects to select a tool over an immediately accessible food reward. Furthermore, most subjects were sensitive to work-effort when the immediate and the delayed option (directly accessible by using a tool) led to the same outcome. Most subjects continued to make profitable decisions that required taking into account the tool functionality. In a final multidimensional task design in which subjects had to simultaneously focus on two apparatuses, two reward qualities and two different tools, the orangutans chose the functional tool to access the high quality reward."
"leeuwen2013total",2013,,"Van Leeuwen, E. J. C., Cronin, K. A., Schütte, S., Call, J., & Haun, D. B. M. (2013). Chimpanzees (Pan troglodytes) flexibly adjust their behaviour in order to maximize payoffs, not to conform to majorities. PLoS One, 8(11): e80945. doi:10.1371/journal.pone.0080945.","Chimpanzees have been shown to be adept learners, both individually and socially. Yet, sometimes their conservative nature seems to hamper the flexible adoption of superior alternatives, even to the extent that they persist in using entirely ineffective strategies. In this study, we investigated chimpanzees’ behavioural flexibility in two different conditions under which social animals have been predicted to abandon personal preferences and adopt alternative strategies: i) under influence of majority demonstrations (i.e. conformity), and ii) in the presence of superior reward contingencies (i.e. maximizing payoffs). Unlike previous nonhuman primate studies, this study disentangled the concept of conformity from the tendency to maintain one’s first-learned strategy. Studying captive (n=16) and semi-wild (n=12) chimpanzees in two complementary exchange paradigms, we found that chimpanzees did not abandon their behaviour in order to match the majority, but instead remained faithful to their first-learned strategy (Study 1a and 1b). However, the chimpanzees’ fidelity to their first-learned strategy was overridden by an experimental upgrade of the profitability of the alternative strategy (Study 2). We interpret our observations in terms of chimpanzees’ relative weighing of behavioural options as a function of situation-specific trade-offs. More specifically, contrary to previous findings, chimpanzees in our study abandoned their familiar behaviour to maximize payoffs, but not to conform to a majority."
"leeuwen2014human",2014,"culture, social learning, chimpanzees, children, decision-making","Van Leeuwen, E. J. C., Call, J., & Haun, D. B. M. (2014). Human children rely more on social information than chimpanzees do. Biology Letters, 10(11): 20140487. doi:10.1098/rsbl.2014.0487.","Human societies are characterized by more cultural diversity than chimpanzee communities. However, it is currently unclear what mechanism might be driving this difference. Because reliance on social information is a pivotal characteristic of culture, we investigated individual and social information reliance in children and chimpanzees. We repeatedly presented subjects with a reward-retrieval task on which they had collected conflicting individual and social information of equal accuracy in counterbalanced order. While both species relied mostly on their individual information, children but not chimpanzees searched for the reward at the socially demonstrated location more than at a random location. Moreover, only children used social information adaptively when individual knowledge on the location of the reward had not yet been obtained. Social information usage determines information transmission and in conjunction with mechanisms that create cultural variants, such as innovation, it facilitates diversity. Our results may help explain why humans are more culturally diversified than chimpanzees."
"leeuwen2017conservatism",2017,"Culture, Social learning, Chimpanzees, Decision-making","Van Leeuwen, E. J. C., & Call, J. (2017). Conservatism and 'copy-if-better' in chimpanzees (Pan troglodytes). Animal Cognition, 20(3), 575-579. doi:10.1007/s10071-016-1061-7.","Social learning is predicted to evolve in socially living animals provided the learning process is not random but biased by certain socio-ecological factors. One bias of particular interest for the emergence of (cumulative) culture is the tendency to forgo personal behaviour in favour of relatively better variants observed in others, also known as the ‘‘copy-if-better’’ strategy. We investigated whether chimpanzees employ copy-if-better in a simple token-exchange paradigm controlling for individual and random social learning. After being trained on one token-type, subjects were confronted with a conspecific demonstrator who either received the same food reward as the subject (control condition) or a higher value food reward than the subject (test condition) for exchanging another token-type. In general, the chimpanzees persisted in exchanging the token-type they were trained on individually, indicating a form of conservatism consistent with previous studies. However, the chimpanzees were more inclined to copy the demonstrator in the test compared to the control condition, indicating a tendency to employ a copy-if-better strategy. We discuss the validity of our results by considering alternative explanations and relate our findings to the emergence of cumulative culture."
"lewis2017non",2017,"cued recall, distinctiveness, episodic memory, forgetting curve, great apes, spontaneous memory.","Lewis, A. V. M., Call, J., & Berntsen, D. (2017). Non-goal-directed recall of specific events in apes after long delays. Proceedings of the Royal Society of London. Series B: Biological Sciences, 284(1858): 20170518. doi:10.1098/rspb.2017.0518.","We examined if apes spontaneously remember one-time, distinctive events across long delays when probed by discriminant cues. Apes witnessed an experimenter hide a cache of food, which they could then retrieve. They retrieved one of two food types; one more distinctive than the other. Two, 10 or 50 weeks later, the apes returned to the same enclosure and found a piece of the previously hidden food on the ground. An experimenter who had not hidden the food was also present. Apes immediately searched the location where the food was previously hidden (no food was here), showing recall of the event. One week later, apes returned to the same enclosure, with the same food on the ground, but now the experimenter that had hidden the food was present. Again, apes immediately searched the hiding location. Apes that had not witnessed the hiding event did not search. There was no significant effect of food type, and retention declined from exposure to the two-week delay, then levelled, consistent with the forgetting curve in humans (Ebbinghaus, H. 1964 Memory: a contribution to experimental psychology (transl. H.A. Ruger & C.E. Bussenvis). New York, NY: Dover. (Original work published 1885.)). This is the first study to show apes can recall a one-time, non-goal-directed event longer than two weeks ago and that apes' recall declines in accordance with a standard retention function."
"liebal2014does",2014,,"Liebal, K., Vaish, A., Haun, D., & Tomasello, M. (2014). Does sympathy motivate prosocial behaviour in great apes? PLoS One, 9(1): e84299. doi:doi:10.1371/journal.pone.0084299.   OA","Prosocial behaviours such as helping, comforting, or sharing are central to human social life. Because they emerge early in ontogeny, it has been proposed that humans are prosocial by nature and that from early on empathy and sympathy motivate such behaviours. The emerging question is whether humans share these abilities to feel with and for someone with our closest relatives, the great apes. Although several studies demonstrated that great apes help others, little is known about their underlying motivations. This study addresses this issue and investigates whether four species of great apes (Pongo pygmaeus, Gorilla gorilla, Pan troglodytes, Pan paniscus) help a conspecific more after observing the conspecific being harmed (a human experimenter steals the conspecific’s food) compared to a condition where no harming occurred. Results showed that in regard to the occurrence of prosocial behaviours, only orangutans, but not the African great apes, help others when help is needed, contrasting prior findings on chimpanzees. However, with the exception of one population of orangutans that helped significantly more after a conspecific was harmed than when no harm occurred, prosocial behaviour in great apes was not motivated by concern for others."
"liebal2017give",2017,"active food sharing, chimpanzees, offer, prosocial behaviours, request, Sumatran orang-utans, taking","Liebal, K., & Rossano, F. (2017). The give and take of food sharing in Sumatran orang-utans, Pongo abelii, and chimpanzees, Pan troglodytes. Animal Behaviour, 133, 91-100. doi:10.1016/j.anbehav.2017.09.006.","Proximate factors of primate food sharing, in contrast to its evolutionary explanations, have received little attention. Active food sharing is considered prosocial, since possessors may benefit others by spontaneously passing food or by reacting to ‘signals of need’. However, in contrast to passive sharing, active food sharing is rare in most nonhuman primates. Surprisingly, previous research showed that captive Sumatran orang-utans actively share food more frequently than chimpanzees and bonobos, and hence, appear more prosocial. Yet these comparisons with the two Pan species were relying on previously published studies, which differed with regard to methods and food types used. Here we used the identical procedure and food type to compare the food-sharing behaviour of 10 captive Sumatran orang-utans and 18 chimpanzees, in situations where individuals could monopolize a sharable food source. We focused on communicative behaviours used to initiate food transfers, and assessed whether and how much food was transferred in response to these initiation attempts. In both species, most transfers were initiated by taking the food, resulting in passive sharing, while active sharing by offering food or after requesting it occurred only rarely. However, orang-utans differed from chimpanzees in several aspects. Because the food was mostly monopolized by the adult male, orang-utans attempted to initiate food transfers more frequently, resisted more to taking attempts, and were less likely to transfer whole food items. In both species, requests were less likely to result in food transfers, indicating that in situations involving access to food, they do not necessarily respond to ‘signals of need’. We argue that in addition to instances of active sharing, other factors such as the degree of food monopolization, response rates to ‘signals of need’, and the quality and quantity of transferred food need to be considered to gain a more detailed picture of prosociality across species."
"liszkowski2009prelinguistic",2009,,"Liszkowski, U., Schäfer, M., Carpenter, M., & Tomasello, M. (2009). Prelinguistic infants, but not chimpanzees, communicate about absent entities. Psychological Science, 20(5), 654-660.","One of the defining features of human language is displacement, the ability to make reference to absent entities. Here we show that prelinguistic, 12-month-old infants already can use a nonverbal pointing gesture to make reference to absent entities. We also show that chimpanzees-who can point for things they want humans to give them-do not point to refer to absent entities in the same way. These results demonstrate that the ability to communicate about absent but mutually known entities depends not on language, but rather on deeper social-cognitive skills that make acts of linguistic reference possible in the first place. These nonlinguistic skills for displaced reference emerged apparently only after humans' divergence from great apes some 6 million years ago."
"manrique2010great",2010,"tool use, object properties, problem solving, primates","Manrique, H. M., Gross, A.-N.-M., & Call, J. (2010). Great Apes Select Tools on the Basis of Their Rigidity. Journal of Experimental Psychology: Animal Behavior Processes, 36(4), 409-422. doi:10.1037/a0019296.","Wild chimpanzees select tools according to their rigidity. However, little is known about whether choices are solely based on familiarity with the materials or knowledge about tool properties. Furthermore, it is unclear whether tool manipulation is required prior to selection or whether observation alone can suffice. We investigated whether chimpanzees (Pan troglodytes) (n = 9), bonobos (Pan paniscus) (n = 4), orangutans (Pongo pygmaeus) (n = 6), and gorillas (Gorilla gorilla) (n = 2) selected new tools on the basis of their rigidity. Subjects faced an out-of-reach reward and a choice of three tools differing in color, diameter, material, and rigidity. We used 10 different 3-tool sets (1 rigid, 2 flexible). Subjects were unfamiliar with the tools and needed to select and use the rigid tool to retrieve the reward. Experiment 1 showed that subjects chose the rigid tool from the first trial with a 90% success rate. Experiments 2a and 2b addressed the role of manipulation and observation in tool selection. Subjects performed equally well in conditions in which they could manipulate the tools themselves or saw the experimenter manipulate the tools but decreased their performance if they could only visually inspect the tools. Experiment 3 showed that subjects could select flexible tools (as opposed to rigid ones) to meet new task demands. We conclude that great apes spontaneously selected unfamiliar rigid or flexible tools even after gathering minimal observational information."
"manrique2011spontaneous",2011,"Problem solving, Innovation, Tool, properties, Tool making","Manrique, H. M., & Call, J. (2011). Spontaneous use of tools as straws in great apes. Animal Cognition, 14(2), 213-226. doi:10.1007/s10071-010-0355-4.","Great apes can use multiple tools to extract food embedded in substrates and can invent new ways to exploit those resources. We tested five bonobos, five chimpanzees, and six orangutans in a task in which they had to use (and modify) a tool as a straw to drink the juice located inside a container. Experiment 1 showed that four orangutans and one chimpanzee invented the use of a piece of electric cable to get the juice. Experiment 2 investigated whether subjects could transform a non-functional hose into a functional one by removing blockages that impeded the free flow of juice. Orangutans outperformed chimpanzees and bonobos by differentially removing those blockages that prevented the flow of juice, often doing so before attempting to extract the juice. In Experiment 3, we presented chimpanzees and orangutans with four 3-tool sets (each tool set contained a single straw-like tool) and allowed them to select one tool. Unlike chimpanzees, orangutans succeeded in selecting the straw-like tool above chance levels without having to physically manipulate it. We suggest that orangutans' superior performance is related to their greater reliance on mouth actions during foraging. Experiment 4 investigated whether orangutans were also capable of selecting the suitable tool not by its appearance, but by the effects that it produced. After witnessing the experimenter blow bubbles or absorb liquid with a functional tool but fail to accomplish the same thing with the non-functional tool, orangutans failed to select the functional tool above chance levels."
"manrique2013repeated",2013,"cognitive flexibility, great ape, inhibitory control, innovation, primates, prior knowledge, problem solving, puzzle box","Manrique, H. M., Völter, C. J., & Call, J. (2013). Repeated innovation in great apes. Animal Behaviour, 85(1), 195-202. doi:10.1016/j.anbehav.2012.10.026.","Innovation has been defined as a solution to a novel problem or a novel solution to an old problem. The second part of this definition requires the inhibition of previously learnt solution strategies before a novel solution can be found. Therefore, inventing novel solutions for an old problem is considered to be particularly difficult. We investigated the ability of great apes to produce multiple new solutions to a task after each of those solutions became obsolete. We presented all four nonhuman great ape species with a task consisting of extracting a food reward from a puzzle box. Initially, the task could be solved in three different ways that varied in difficulty. After subjects discovered the first solution, we allowed them to use it for some trials and then it became obsolete. If the apes could overcome their initial response and find the next solution, we again allowed them to use it for some time and once again it became obsolete. The final step consisted of finding the third solution to secure the food reward. We found that all species except orang-utans, Pongo abelii, were able to solve all versions of the problem. Furthermore, they overcame the obsolete techniques quickly and efficiently, indicating high degrees of behavioural flexibility and inhibitory control. In contrast to previous research on social learning, our results suggest that great apes are not conservative and adjust their behaviour flexibly when the physical constraints of a task change."
"manrique2015age",2015,"ageing, cognitive flexibility, great apes, perseverative responding, reversal task","Manrique, H. M., & Call, J. (2015). Age-dependent cognitive inflexibility in great apes. Animal Behaviour, 102, 1-6. doi:10.1016/j.anbehav.2015.01.002.","The ability to suppress and/or change behaviour on the basis of negative feedback, often conceptualized as cognitive flexibility, has rarely been investigated in nonhuman great apes across a broad age range. In this study, 25 chimpanzees, Pan troglodytes, eight bonobos, Pan paniscus, seven orang-utans, Pongo abelii, and three gorillas, Gorilla gorilla, whose ages ranged from 5 to 48 years, were presented with a transparent Plexiglas rectangular box horizontally attached to their cage mesh. A square container, 7.5 cm2, fixed inside the apparatus contained a food reward (i.e. a grape). While the container rested on its central position the grape was not accessible. To retrieve the grape the subjects needed to grasp the handle connected to the reward container and displace it sideways to reach one of the lateral access windows. Subjects were intensively trained to displace the handle to a specific side (right or left, depending on the group) and then the rewarded side was reversed during the test. Performance in this reversal task did not differ significantly between species. However, a U-shaped relation between age and perseverative responding (i.e. moves to the previously rewarded side) was observed, extending findings with humans to our closest living primate relatives."
"many2019establishing",2019,,"Many Primates, Altschul, D. M., Beran, M. J., Bohn, M., Call, J., DeTroy, S., Duguid, S. J., Egelkamp, C. L., Fichtel, C., Fischer, J., Flessert, M., Hanus, D., Haun, D. B. M., Haux, L. M., Hernandez-Aguilar, R. A., Herrmann, E., Hopper, L. M., Joly, M., Kano, F., Keupp, S., Melis, A. P., Motes Rodrigo, A., Ross, S. R., Sánchez Amaro, A., Sato, Y., Schmitt, V., Schweinfurth, M. K., Seed, A. M., Taylor, D., Völter, C. J., Warren, E., & Watzek, J. (2019). Establishing an infrastructure for collaboration in primate cognition research. PLoS One, 14(10): e0223675. doi:10.1371/journal.pone.0223675.","Inferring the evolutionary history of cognitive abilities requires large and diverse samples. However, such samples are often beyond the reach of individual researchers or institutions, and studies are often limited to small numbers of species. Consequently, methodological and site-specific-differences across studies can limit comparisons between species. Here we introduce the ManyPrimates project, which addresses these challenges by providing a large-scale collaborative framework for comparative studies in primate cognition. To demonstrate the viability of the project we conducted a case study of short-term memory. In this initial study, we were able to include 176 individuals from 12 primate species housed at 11 sites across Africa, Asia, North America and Europe. All subjects were tested in a delayed-response task using consistent methodology across sites. Individuals could access food rewards by remembering the position of the hidden reward after a 0, 15, or 30-second delay. Overall, individuals performed better with shorter delays, as predicted by previous studies. Phylogenetic analysis revealed a strong phylogenetic signal for short-term memory. Although, with only 12 species, the validity of this analysis is limited, our initial results demonstrate the feasibility of a large, collaborative open-science project. We present the ManyPrimates project as an exciting opportunity to address open questions in primate cognition and behaviour with large, diverse datasets."
"martin2008tubes",2008,"Tool-use, Action constraints, Primates, Causal knowledge, Analogy","Martin-Ordas, G., Call, J., & Colmenares, F. (2008). Tubes, tables and traps: great apes solve two functionally equivalent trap tasks but show no evidence of transfer across tasks. Animal Cognition, 11(3), 423-430. doi:10.1007/s10071-007-0132-1.","Previous studies on tool using have shown that presenting subjects with certain modifications in the experimental setup can substantially improve their performance. However, procedural modifications (e.g. trap table task) may not only remove task constraints but also simplify the problem conceptually. The goal of this study was to design a variation of the trap-table that was functionally equivalent to the trap-tube task. In this new task, the subjects had to decide where to insert the tool and in which direction the reward should be pushed. We also administered a trap-tube task that allowed animals to push or rake the reward with the tool to compare the subjects’ performance on both tasks. We used a larger sample of subjects than in previous studies and from all the four species of great apes (Gorilla gorilla, Pan troglodytes, Pan paniscus, and Pongo pygmaeus). The results showed that apes performed better in the trap-platform task than in the trap-tube task. Subjects solved the tube task faster than in previous studies and they also preferred to rake in rather than to push the reward out. There was no correlation in the level of performance between both tasks, and no indication of interspecies differences. These data are consistent with the idea that apes may possess some specific causal knowledge of traps but may lack the ability to establish analogical relations between functional equivalent tasks."
"martin2009assessing",2009,,"Martin-Ordas, G., & Call, J. (2009). Assessing Generalization Within and Between Trap Tasks in the Great Apes. International Journal of Comparative Psychology, 22(1), 43-60.","Considerable research has been devoted to investigate the type of information that subjects use to solve tool-using tasks in which they have to avoid certain obstacles (e.g., traps) to retrieve a reward. Much of the debate has centered on whether subjects simply use certain stimulus features (e.g., the position of the trap) or instead use more functionally-relevant information regarding the effect that certain features may have on a moving reward. We tested eight apes (that in a previous study had succeeded in a trap-tube task) with one functional and two nonfunctional traps to investigate the features that they used to solve the task. Four of the eight subjects used functional features. Additionally, we presented 31 apes with a trap task that did not involve tools but required subjects to make an inference about the position of a hidden reward based on its displacement over a substrate with or without a trap. Subjects performed above chance levels (including from the first trial) in the experimental condition (unlike in the control conditions), suggesting that they took into account the effect that a trap may have on a reward. Third, we correlated the subjects performance in four trap tasks (3 involving tool-use and one without tool-use) and found positive correlations between some of the tasks. Our results suggest that apes possess some knowledge about the effects that traps have on slow moving unsupported objects. However, this knowledge was not robust enough to prevent the influence of certain practice and task effects. Moreover, subjects’ knowledge may not have been abstract enough to allow them to establish broad analogies between tasks."
"martin2010keeping",2010,"Episodic-like memory, Age, Great apes","Martin-Ordas, G., Haun, D. B. M., Colmenares, F., & Call, J. (2010). Keeping track of time: Evidence for episodic-like memory in great apes. Animal Cognition, 13(2), 331-340. doi:10.1007/s10071-009-0282-4.","Episodic memory, as defined by Tulving, can be described in terms of behavioural elements (what, where and when information) but it is also accompained by an awareness of one’s past (chronesthesia) and a subjective conscious experience (autonoetic awareness). Recent experiments have shown that corvids and rodents recall the where, what and when of an event. This capability has been called episodic-like memory because it only fulfils the behavioural criteria for episodic memory. We tested seven chimpanzees, three orangutans and two bonobos of various ages by adapting two paradigms, originally developed by Clayton and colleagues to test scrub jays. In Experiment 1, subjects were fed preferred but perishable food (frozen juice) and less preferred but non-perishable food (grape). After the food items were hidden, subjects could choose one of them either after 5 min or 1 h. The frozen juice was still available after 5 min but melted after 1 h and became unobtainable. Apes chose the frozen juice significantly more after 5 min and the grape after 1 h. In Experiment 2, subjects faced two baiting events happening at different times, yet they formed an integrated memory for the location and time of the baiting event for particular food items. We also included a memory task that required no temporal encoding. Our results showed that apes remember in an integrated fashion what, where and when (i.e., how long ago) an event happened; that is, apes distinguished between different events in which the same food items were hidden in different places at different times. The temporal control of their choices was not dependent on the familiarity of the platforms where the food was hidden. Chimpanzees’ and bonobos’ performance in the temporal encoding task was age-dependent, following an inverted U-shaped distribution. The age had no effect on the performance of the subjects in the task that required no temporal encoding."
"martin2011memory",2011,"memory, time, sleep, interference, great apes","Martin-Ordas, G., & Call, J. (2011). Memory processing in great apes: the effect of time and sleep. Biology Letters, 7(6), 829-832. doi:10.1098/rsbl.2011.0437.","Following encoding, memory remains temporarily vulnerable to disruption. Consolidation refers to offline time-dependent processes that continue after encoding and stabilize, transform or enhance the memory trace. Memory consolidation resulting from sleep has been reported for declarative and non-declarative memories in humans. We first investigated the temporal course of memory retrieval in chimpanzees, bonobos and orangutans. We found that the amount of retrieved information was time dependent: apes' performance degraded after 1 and 2 h, stabilized after 4 h, started to increase after 8 and 12 h and fully recovered after 24 h. Second, we show that although memories during wakefulness were highly vulnerable to interference from events similar to those witnessed during the original encoding event, an intervening period of sleep not only stabilized apes' memories into more permanent ones but also protected them against interference."
"martin2013memory",2013,,"Martin-Ordas, G., Berntsen, D., & Call, J. (2013). Memory for distant past events in chimpanzees and orangutans. Current Biology, 23(15), 1438-1441. doi:10.1016/j.cub.2013.06.017.","Determining the memory systems that support nonhuman animals’ capacity to remember distant past events is currently the focus an intense research effort and a lively debate [1, 2, 3]. Comparative psychology has largely adopted Tulving’s framework by focusing on whether animals remember what-where-when something happened (i.e., episodic-like memory) [4, 5, 6]. However, apes have also been reported to recall other episodic components [7] after single-trial exposures [8, 9]. Using a new experimental paradigm we show that chimpanzees and orangutans recalled a tool-finding event that happened four times 3 years earlier (experiment 1) and a tool-finding unique event that happened once 2 weeks earlier (experiment 2). Subjects were able to distinguish these events from other tool-finding events, which indicates binding of relevant temporal-spatial components. Like in human involuntary autobiographical memory, a cued, associative retrieval process triggered apes’ memories: when presented with a particular setup, subjects instantaneously remembered not only where to search for the tools (experiment 1), but also the location of the tool seen only once (experiment 2). The complex nature of the events retrieved, the unexpected and fast retrieval, the long retention intervals involved, and the detection of binding strongly suggest that chimpanzees and orangutans’ memories for past events mirror some of the features of human autobiographical memory."
"moore2015production",2015,,"Moore, R., Call, J., & Tomasello, M. (2015). Production and comprehension of gestures between orang-utans (Pongo pygmaeus) in a referential communication game. PLoS One, 10(6): e0129726. doi:10.1371/journal.pone.0129726.   OA","Orang-utans played a communication game in two studies testing their ability to produce and comprehend requestive pointing. While the 'communicator' could see but not obtain hidden food, the 'donor' could release the food to the communicator, but could not see its location for herself. They could coordinate successfully if the communicator pointed to the food, and if the donor comprehended his communicative goal and responded pro-socially. In Study 1, one orang-utan pointed regularly and accurately for peers. However, they responded only rarely. In Study 2, a human experimenter played the communicator's role in three conditions, testing the apes' comprehension of points of different heights and different degrees of ostension. There was no effect of condition. However, across conditions one donor performed well individually, and as a group orang-utans' comprehension performance tended towards significance. We explain this on the grounds that comprehension required inferences that they found difficult - but not impossible. The finding has valuable implications for our thinking about the development of pointing in phylogeny."
"muhlenbeck2015gaze",2015,,"Mühlenbeck, C., Liebal, K., Pritsch, C., & Jacobsen, T. (2015). Gaze duration biases for colours in combination with dissonant and consonant sounds: a comparative eye-tracking study with orangutans. PLoS One, 10(10), e0139894. ","Research on colour preferences in humans and non-human primates suggests similar patterns of biases for and avoidance of specific colours, indicating that these colours are connected to a psychological reaction. Similarly, in the acoustic domain, approach reactions to consonant sounds (considered as positive) and avoidance reactions to dissonant sounds (considered as negative) have been found in human adults and children, and it has been demonstrated that non-human primates are able to discriminate between consonant and dissonant sounds. Yet it remains unclear whether the visual and acoustic approach-avoidance patterns remain consistent when both types of stimuli are combined, how they relate to and influence each other, and whether these are similar for humans and other primates. Therefore, to investigate whether gaze duration biases for colours are similar across primates and whether reactions to consonant and dissonant sounds cumulate with reactions to specific colours, we conducted an eye-tracking study in which we compared humans with one species of great apes, the orangutans. We presented four different colours either in isolation or in combination with consonant and dissonant sounds. We hypothesised that the viewing time for specific colours should be influenced by dissonant sounds and that previously existing avoidance behaviours with regard to colours should be intensified, reflecting their association with negative acoustic information. The results showed that the humans had constant gaze durations which were independent of the auditory stimulus, with a clear avoidance of yellow. In contrast, the orangutans did not show any clear gaze duration bias or avoidance of colours, and they were also not influenced by the auditory stimuli. In conclusion, our findings only partially support the previously identified pattern of biases for and avoidance of specific colours in humans and do not confirm such a pattern for orangutans."
"muhlenbeck2016differences",2016,"orangutans, aesthetic preference, cultural comparison, eye tracking, symmetry","Mühlenbeck, C., Liebal, K., Pritsch, C., & Jacobsen, T. (2016). Differences in the visual perception of symmetric patterns in orangutans (Pongo pygmaeus abelii) and two human cultural groups: A comparative eye-tracking study. Frontiers in Psychology, 7, 408. ","Symmetric structures are of importance in relation to aesthetic preference. To investigate whether the preference for symmetric patterns is unique to humans, independent of their cultural background, we compared two human populations with distinct cultural backgrounds (Namibian hunter-gatherers and German town dwellers) with one species of non-human great apes (Orangutans) in their viewing behavior regarding symmetric and asymmetric patterns in two levels of complexity. In addition, the human participants were asked to give their aesthetic evaluation of a subset of the presented patterns. The results showed that humans of both cultural groups fixated on symmetric patterns for a longer period of time, regardless of the pattern's complexity. On the contrary, Orangutans did not clearly differentiate between symmetric and asymmetric patterns, but were much faster in processing the presented stimuli and scanned the complete screen, while both human groups rested on the symmetric pattern after a short scanning time. The aesthetic evaluation test revealed that the fixation preference for symmetric patterns did not match with the aesthetic evaluation in the Hai//om group, whereas in the German group aesthetic evaluation was in accordance with the fixation preference in 60 percent of the cases. It can be concluded that humans prefer well-ordered structures in visual processing tasks, most likely because of a positive processing bias for symmetry, which Orangutans did not show in this task, and that, in humans, an aesthetic preference does not necessarily accompany the fixation preference."
"muhlenbeck2017cultural",2017,"object manipulation, ochre, eye-tracking, external symbolic storage, orangutans","Mühlenbeck, C., Jacobsen, T., Pritsch, C., & Liebal, K. (2017). Cultural and species differences in gazing patterns for marked and decorated objects: a comparative eye-tracking study. Frontiers in psychology, 8, 6.","Objects from the Middle Paleolithic period colored with ochre and marked with incisions represent the beginning of non-utilitarian object manipulation in different species of the Homo genus. To investigate the visual effects caused by these markings, we compared humans who have different cultural backgrounds (Namibian hunter–gatherers and German city dwellers) to one species of non-human great apes (orangutans) with respect to their perceptions of markings on objects. We used eye-tracking to analyze their fixation patterns and the durations of their fixations on marked and unmarked stones and sticks. In an additional test, humans evaluated the objects regarding their aesthetic preferences. Our hypotheses were that colorful markings help an individual to structure the surrounding world by making certain features of the environment salient, and that aesthetic appreciation should be associated with this structuring. Our results showed that humans fixated on the marked objects longer and used them in the structural processing of the objects and their background, but did not consistently report finding them more beautiful. Orangutans, in contrast, did not distinguish between object and background in their visual processing and did not clearly fixate longer on the markings. Our results suggest that marking behavior is characteristic for humans and evolved as an attention-directing rather than aesthetic benefit."
